Depenses de sante en % du PIB,PIB par habitant,Part des +65 ans,Practiciens pour 1000 habitants,Lits d hopitaux pour 1000 habitants,Taux deces 2 ans,Chomage,Depenses t-1
6.155,44.9,0.1821936592599366,4.27,7.3,2.749,11.8,6.308
6.222,46.2,0.1838905620412353,4.3,7.25,2.783,10.7,6.155
6.474,46.3,0.18664620637153,4.33,6.95,2.832,9.1,6.222
6.649,47.4,0.1891787912098918,4.45,6.67,2.806,7.9,6.474
6.464,50.2,0.1921571192381318,4.53,6.52,2.788,7.1,6.649
6.469,53.2,0.1950753662161206,4.57,6.39,2.755,6.2,6.464
6.945,55.3,0.196378280349904,4.54,6.31,2.91,6.3,6.469
7.416,58.6,0.1980471726281034,4.46,5.98,3.249,8.5,6.945
7.732,60.7,0.1992129533603177,4.46,6.04,3.224,7.1,7.416
7.244,65.6,0.199796293511257,4.44,5.68,2.847,6.0,7.732
7.319,67.4,0.2000735664945565,4.62,5.48,,6.9,7.244
7.125,294.1,0.1408299546863821,2.55,5.79,1.602,4.5,7.28
6.638,309.8,0.1406991468515368,2.61,5.65,1.627,4.7,7.125
6.158,317.3,0.1403419244960488,2.68,5.67,1.567,4.1,6.638
6.231,322.1,0.1399196773866833,2.72,5.57,1.499,5.1,6.158
6.95,323.5,0.1395987841945289,2.7,5.47,1.503,5.1,6.231
6.662,332.9,0.1395155218636594,2.77,5.37,1.51,4.4,6.95
5.952,329.8,0.138879337292904,2.78,5.28,1.503,4.9,6.662
5.294,336.9,0.1395838453814687,2.81,5.15,1.467,5.1,5.952
5.236,342.9,0.1397607994950087,2.83,5.17,1.427,5.9,5.294
5.23,345.5,0.1407618978314656,2.88,5.05,1.423,5.9,5.236
5.081,342.1,0.141822302907144,2.91,4.93,1.412,6.7,5.23
5.071,337.7,0.142224975661563,2.88,4.81,1.428,6.3,5.081
5.135,328.6,0.1424338925316634,2.98,4.66,1.453,5.5,5.071
5.274,322.7,0.143201468426342,,4.51,1.429,5.6,5.135
5.466,316.8,0.1438815170045643,,4.26,1.448,5.6,5.274
5.767,334.9,0.1450021402058431,,4.19,1.453,6.8,5.466
5.608,342.5,0.1461046429190364,,,1.408,5.3,5.767
5.609,324.0,0.1475045592092929,,,1.376,4.6,5.608
5.668,320.4,0.1486359901272531,,,,5.2,5.609
5.791,29.3,0.1314584452937464,2.14,5.77,1.933,17.8,5.842
5.781,31.0,0.1330244957321785,2.18,5.72,1.957,13.9,5.791
