Country,Year,Depenses de sante en % du PIB,PIB par habitant,Part des +65 ans,Practiciens pour 1000 hab,Lits pour 1000 hab,Taux deces 2 ans,Chomage,Depenses t-1
France,2017,11.449,115.6,0.1929025968279871,3.14,5.98,1.82,9.4,11.57
France,2018,11.308,114.5,0.1965427591445402,3.14,5.89,1.825,9.0,11.449
France,2019,11.171,113.9,0.2000985399552338,3.16,5.83,1.906,8.4,11.308
France,2020,12.129,112.3,0.2037363592493313,3.17,5.72,1.972,8.0,11.171
France,2021,12.249,111.0,0.2062662981446766,3.18,6.305,1.974,7.9,12.129
France,2022,11.835,107.7,0.2086942516329779,3.19,6.305,1.931,7.3,12.249
France,2023,11.503,107.7,0.2112970198987334,3.165,6.305,1.7440000000000002,7.3,11.835
Grèce,2005,8.761,80.2,0.1828291785749968,5.06,4.78,1.919,10.0,8.3
Grèce,2006,8.396,83.4,0.184548787992348,5.41,4.87,1.957,9.0,8.761
Grèce,2007,8.523,84.1,0.1858613186942235,5.63,4.88,1.974,8.4,8.396
Grèce,2008,8.948,84.9,0.1866335555477804,5.71,4.84,1.955,7.8,8.523
Grèce,2009,9.536,87.1,0.1877314890968652,5.79,4.93,1.959,9.6,8.948
Grèce,2010,9.62,80.1,0.189768968141758,5.76,4.48,1.98,12.7,9.536
Grèce,2011,9.186,70.8,0.1929009604264598,5.78,4.47,2.048,17.9,9.62
Grèce,2012,9.043,64.8,0.1966787974389536,5.78,4.45,2.061,24.8,9.186
Grèce,2013,8.522,61.9,0.2006391535872529,5.81,4.24,2.05,27.8,9.043
Grèce,2014,7.944,60.2,0.2048656117015703,5.87,4.24,2.15,26.6,8.522
Grèce,2015,8.267,58.3,0.2089767211658702,5.9,4.25,2.21,25.0,7.944
Grèce,2016,8.451,56.8,0.2126211591739718,6.12,4.2,2.256,23.9,8.267
Grèce,2017,8.113,55.6,0.2154252807318739,6.07,4.21,2.273,21.8,8.451
Grèce,2018,8.073,54.9,0.2178685459165742,6.1,4.2,2.283,19.7,8.113
Grèce,2019,8.117,54.5,0.2203600339742307,6.16,4.18,2.387,17.9,8.073
Grèce,2020,9.381,51.3,0.2226230843401145,6.19,4.23,2.565,17.6,8.117
Grèce,2021,9.032,52.2,0.2254835638122936,6.37,4.27,2.658,14.7,9.381
Grèce,2022,8.449,54.1,0.227671087871896,6.56,4.26,2.553,12.5,9.032
Grèce,2023,8.394,55.5,0.2301800598464641,6.61,4.24,2.43,11.1,8.449
Hongrie,2005,7.992,40.8,0.156235835052645,2.78,7.89,2.648,7.2,7.766
Hongrie,2006,7.786,39.2,0.1578622749124926,3.04,7.93,2.625,7.5,7.992
Hongrie,2007,7.207,41.2,0.1594568652707418,2.8,7.15,2.612,7.4,7.786
Hongrie,2008,7.093,42.5,0.1616555675577311,3.09,7.07,2.593,7.8,7.207
Hongrie,2009,7.237,38.9,0.1635212927955657,3.02,7.09,2.601,10.0,7.093
Hongrie,2010,7.464,39.7,0.1661103635153007,2.87,7.12,2.589,11.2,7.237
Hongrie,2011,7.493,39.5,0.1673524458221449,2.96,7.15,2.586,11.0,7.464
Hongrie,2012,7.43,38.8,0.1687400982186233,3.09,6.94,2.579,10.7,7.493
Hongrie,2013,7.236,39.4,0.1715394760112175,3.22,7.01,2.556,9.8,7.43
Hongrie,2014,7.042,40.3,0.1749531000179996,3.33,6.99,2.618,7.5,7.236
Hongrie,2015,6.85,41.4,0.178425462145031,3.11,7.0,2.635,6.6,7.042
Hongrie,2016,6.968,41.9,0.1819223219803731,3.23,7.0,2.648,5.0,6.85
Hongrie,2017,6.733,44.1,0.1856813708866568,3.35,7.02,2.702,4.0,6.968
Hongrie,2018,6.555,45.9,0.1883700831458395,3.41,7.02,2.688,3.6,6.733
Hongrie,2019,6.247,48.0,0.192310483664788,3.52,6.99,2.796,3.3,6.555
Hongrie,2020,7.231,47.1,0.197682699071643,3.17,6.98,3.07,4.1,6.247
Hongrie,2021,7.335,48.4,0.202040292138154,3.33,6.92,3.035,4.0,7.231
Hongrie,2022,6.647,48.6,0.2043449166491769,3.48,6.82,2.764,3.6,7.335
Hongrie,2023,6.369,53.6,0.2053733932904878,4.37,6.62,2.63,4.1,6.647
Irlande,2005,7.642,185.2,0.1110455795112062,3.26,5.52,1.38,4.6,7.22
Irlande,2006,7.516,185.7,0.1096663241571843,3.26,5.34,1.345,4.8,7.642
Irlande,2007,7.808,181.5,0.1080288600448191,3.26,5.17,1.299,5.0,7.516
Irlande,2008,9.126,164.0,0.1077643168717956,3.26,4.89,1.271,6.8,7.808
Irlande,2009,10.523,154.2,0.109439893907136,3.26,2.83,1.246,12.6,9.126
Irlande,2010,10.521,146.2,0.1121714641928612,3.26,2.73,1.24,14.6,10.523
Irlande,2011,10.489,146.1,0.1152655253987142,2.67,2.63,1.261,15.4,10.521
Irlande,2012,10.475,147.9,0.118867048410788,2.71,2.55,1.279,15.5,10.489
Irlande,2013,10.033,150.8,0.1223646513205948,2.68,2.57,1.275,13.8,10.475
Irlande,2014,9.231,160.6,0.1259721095024162,3.02,2.59,1.28,11.9,10.033
Irlande,2015,7.078,208.6,0.1293093699005927,3.14,2.94,1.3,9.9,9.231
Irlande,2016,7.338,203.8,0.1321373695963384,3.21,2.98,1.29,8.4,7.078
Irlande,2017,6.917,215.7,0.1349824562938866,3.26,2.98,1.281,6.7,7.338
Irlande,2018,6.747,223.6,0.1382262986865217,3.29,2.98,1.279,5.8,6.917
Irlande,2019,6.619,231.0,0.1408263568832003,3.31,2.88,1.282,5.0,6.747
Irlande,2020,6.973,248.5,0.1439165303435343,3.44,2.88,1.33,5.9,6.619
Irlande,2021,6.441,264.8,0.146870478614804,4.0,2.87,1.368,6.2,6.973
Irlande,2022,6.021,277.1,0.1500167724784679,3.33,2.91,1.358,4.5,6.441
Irlande,2023,6.575,258.2,0.1518601812233764,3.82,2.92,1.2814999999999999,4.3,6.021
Italie,2005,8.309,116.6,0.1949990048991489,3.71,4.03,1.939,7.7,8.137
Italie,2006,8.398,114.5,0.1982629963295302,3.71,3.98,1.936,6.8,8.309
Italie,2007,8.102,111.8,0.2005708867904132,3.77,3.89,1.976,6.1,8.398
Italie,2008,8.502,109.3,0.2015298727738146,3.76,3.77,1.994,6.7,8.102
Italie,2009,8.913,109.8,0.2024932198588664,3.76,3.66,1.984,7.8,8.502
Italie,2010,8.879,107.8,0.2036140669786369,3.78,3.61,1.978,8.4,8.913
Italie,2011,8.729,106.7,0.2044174018241025,3.86,3.48,2.012,8.4,8.879
Italie,2012,8.798,104.4,0.2082882699720498,3.83,3.38,2.019,10.9,8.729
Italie,2013,8.79,102.4,0.2113806208568468,3.9,3.31,1.989,12.4,8.798
Italie,2014,8.859,101.0,0.2150777823129277,3.91,3.24,2.065,12.9,8.79
Italie,2015,8.846,99.3,0.2186193274101381,3.87,3.22,2.094,12.0,8.859
Italie,2016,8.72,99.5,0.2214155602633029,3.99,3.2,2.101,11.7,8.846
Italie,2017,8.691,98.0,0.2241164801801943,4.03,3.21,2.135,11.3,8.72
Italie,2018,8.655,96.9,0.2263205358878139,4.01,3.17,2.115,10.6,8.691
Italie,2019,8.615,95.3,0.2289197027056319,4.05,3.16,2.298,9.9,8.655
Italie,2020,9.564,92.1,0.2323733103372605,4.0,3.18,2.417,9.3,8.615
Italie,2021,9.282,93.7,0.235354866456436,4.1,3.12,2.391,9.5,9.564
Italie,2022,8.85,93.7,0.2380378170586199,4.23,3.09,2.348,8.1,9.282
Italie,2023,8.406,94.7,0.2403723695298697,3.885,3.04,2.042,7.7,8.85
Lettonie,2005,6.082,26.7,0.1663932998003311,2.96,7.9,2.928,10.0,6.475
Lettonie,2006,6.021,31.8,0.1700006373789541,3.03,7.85,2.969,7.0,6.082
Lettonie,2007,5.818,39.8,0.1739456004056428,3.14,7.83,2.9,6.1,6.021
Lettonie,2008,5.866,42.2,0.1759618762575223,3.23,7.77,2.779,7.7,5.818
Lettonie,2009,6.268,35.5,0.1782249585497546,3.15,6.74,2.771,17.5,5.866
Lettonie,2010,6.224,33.4,0.1811724948408492,3.11,5.68,2.763,19.5,6.268
Lettonie,2011,5.918,35.7,0.1837169003256041,3.13,5.88,2.775,16.2,6.224
Lettonie,2012,5.621,40.3,0.1856140390343763,3.14,5.89,2.823,15.1,5.918
Lettonie,2013,5.604,41.6,0.1876565414499771,3.19,5.8,2.824,11.9,5.621
Lettonie,2014,5.664,42.6,0.1906675500182866,3.22,5.66,2.845,10.9,5.604
Lettonie,2015,5.849,43.2,0.1938858947402341,3.2,5.69,2.873,9.9,5.664
Lettonie,2016,6.352,43.9,0.1963399911729916,3.21,5.72,2.912,9.7,5.849
Lettonie,2017,6.187,45.2,0.1989158593642635,3.21,5.57,2.952,8.7,6.352
Lettonie,2018,6.409,47.7,0.20102368770546,3.3,5.49,2.923,7.4,6.187
Lettonie,2019,6.863,48.8,0.2025966057767629,3.27,5.42,2.947,6.3,6.409
Lettonie,2020,7.506,50.4,0.2051780308490702,3.34,5.29,3.326,8.1,6.863
Lettonie,2021,9.411,51.5,0.2079512027901626,3.36,5.16,3.451,7.6,7.506
Lettonie,2022,8.104,52.9,0.2087813080265727,3.4,5.03,3.133,6.9,9.411
Lettonie,2023,7.278,54.8,0.2097272024335531,3.36,5.705,2.9059999999999997,6.5,8.104
Lituanie,2005,5.646,28.6,0.1582972204505219,3.72,7.28,2.641,8.3,5.483
Lituanie,2006,5.857,31.5,0.1629075622333643,3.79,7.16,2.749,5.8,5.646
Lituanie,2007,5.76,36.4,0.1664854862317741,3.88,7.19,2.753,4.3,5.857
Lituanie,2008,6.29,40.2,0.1699359242732922,3.88,7.18,2.673,5.8,5.76
Lituanie,2009,7.345,35.2,0.1720395017865129,3.85,7.18,2.643,13.8,6.29
Lituanie,2010,6.906,35.6,0.173424621957647,3.95,7.16,2.647,17.8,7.345
Lituanie,2011,6.54,39.6,0.1786376019299034,4.1,7.43,2.685,15.4,6.906
Lituanie,2012,6.308,42.8,0.1808914580670593,4.22,7.44,2.745,13.4,6.54
Lituanie,2013,6.155,44.9,0.1821936592599366,4.27,7.3,2.749,11.8,6.308
Lituanie,2014,6.222,46.2,0.1838905620412353,4.3,7.25,2.783,10.7,6.155
Lituanie,2015,6.474,46.3,0.18664620637153,4.33,6.95,2.832,9.1,6.222
Lituanie,2016,6.649,47.4,0.1891787912098918,4.45,6.67,2.806,7.9,6.474
Lituanie,2017,6.464,50.2,0.1921571192381318,4.53,6.52,2.788,7.1,6.649
Lituanie,2018,6.469,53.2,0.1950753662161206,4.57,6.39,2.755,6.2,6.464
Lituanie,2019,6.945,55.3,0.196378280349904,4.54,6.31,2.91,6.3,6.469
Lituanie,2020,7.416,58.6,0.1980471726281034,4.46,5.98,3.249,8.5,6.945
Lituanie,2021,7.732,60.7,0.1992129533603177,4.46,6.04,3.224,7.1,7.416
Lituanie,2022,7.244,65.6,0.199796293511257,4.44,5.68,2.847,6.0,7.732
Lituanie,2023,7.319,67.4,0.2000735664945565,4.62,5.48,2.754,6.9,7.244
Luxembourg,2005,7.125,294.1,0.1408299546863821,2.55,5.79,1.602,4.5,7.28
Luxembourg,2006,6.638,309.8,0.1406991468515368,2.61,5.65,1.627,4.7,7.125
Luxembourg,2007,6.158,317.3,0.1403419244960488,2.68,5.67,1.567,4.1,6.638
Luxembourg,2008,6.231,322.1,0.1399196773866833,2.72,5.57,1.499,5.1,6.158
Luxembourg,2009,6.95,323.5,0.1395987841945289,2.7,5.47,1.503,5.1,6.231
Luxembourg,2010,6.662,332.9,0.1395155218636594,2.77,5.37,1.51,4.4,6.95
Luxembourg,2011,5.952,329.8,0.138879337292904,2.78,5.28,1.503,4.9,6.662
Luxembourg,2012,5.294,336.9,0.1395838453814687,2.81,5.15,1.467,5.1,5.952
Luxembourg,2013,5.236,342.9,0.1397607994950087,2.83,5.17,1.427,5.9,5.294
Luxembourg,2014,5.23,345.5,0.1407618978314656,2.88,5.05,1.423,5.9,5.236
Luxembourg,2015,5.081,342.1,0.141822302907144,2.91,4.93,1.412,6.7,5.23
Luxembourg,2016,5.071,337.7,0.142224975661563,2.88,4.81,1.428,6.3,5.081
Luxembourg,2017,5.135,328.6,0.1424338925316634,2.98,4.66,1.453,5.5,5.071
Luxembourg,2018,5.274,322.7,0.143201468426342,2.78,4.51,1.429,5.6,5.135
Luxembourg,2019,5.466,316.8,0.1438815170045643,2.78,4.26,1.448,5.6,5.274
Luxembourg,2020,5.767,334.9,0.1450021402058431,2.78,4.19,1.453,6.8,5.466
Luxembourg,2021,5.608,342.5,0.1461046429190364,2.78,5.16,1.408,5.3,5.767
Luxembourg,2022,5.609,324.0,0.1475045592092929,2.78,5.16,1.376,4.6,5.608
Luxembourg,2023,5.668,320.4,0.1486359901272531,2.78,5.16,1.453,5.2,5.609
Pologne,2005,5.791,29.3,0.1314584452937464,2.14,5.77,1.933,17.8,5.842
Pologne,2006,5.781,31.0,0.1330244957321785,2.18,5.72,1.957,13.9,5.791
Pologne,2007,5.864,33.4,0.134201854880302,2.19,5.68,1.985,9.6,5.781
Pologne,2008,6.352,38.0,0.1346265172347489,2.16,5.84,2.005,7.1,5.864
Pologne,2009,6.57,34.4,0.134946080693151,2.17,5.89,2.002,8.2,6.352
Pologne,2010,6.435,37.8,0.1357045676905654,2.19,5.84,1.983,9.7,6.57
Pologne,2011,6.245,38.5,0.1361312662958016,2.21,5.85,1.997,9.7,6.435
Pologne,2012,6.229,39.2,0.1396397132476974,2.23,5.85,2.028,10.4,6.245
Pologne,2013,6.45,39.1,0.143884793800518,2.24,5.83,2.007,10.6,6.229
Pologne,2014,6.283,40.1,0.1488784638460412,2.31,5.85,2.029,9.2,6.45
Pologne,2015,6.365,41.0,0.1541800114056834,2.33,5.86,2.06,7.7,6.283
Pologne,2016,6.526,39.5,0.1595976412171882,2.42,5.86,2.083,6.3,6.365
